,codigo,professor,disciplina,anoperiodo,qnt_discentes,qnt_aprovados,qnt_reprovacao,qnt_trancamentos,media_turma,media_faltas,qnt_reposicao,taxa_aprovacao,taxa_reprovacao,evasao,qnt_aprovados_primeira
661,57609417,23943.0,52448,2017.2,45,44.0,1.0,0.0,6.362222222222222,8.4,4.0,0.9777777777777776,0.022222222222222227,0.0,0
662,57609423,5753386.0,46454,2017.2,36,32.0,3.0,1.0,5.366666666666668,8.666666666666666,1.0,0.8888888888888888,0.08333333333333333,0.027777777777777776,0
663,57609424,5752989.0,59418,2017.2,36,36.0,0.0,0.0,5.675000000000002,0.0,0.0,1.0,0.0,0.0,0
664,57609425,5753006.0,60253,2017.2,3,3.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0
665,57609426,5755418.0,64903,2017.2,1,0.0,1.0,0.0,3.9,18.0,0.0,0.0,1.0,0.0,0
666,57609426,3020005.0,64903,2017.2,1,0.0,1.0,0.0,3.9,18.0,0.0,0.0,1.0,0.0,0
667,57609427,5752989.0,46457,2017.2,6,4.0,2.0,0.0,4.083333333333333,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0
668,57609429,5753362.0,46461,2017.2,35,31.0,3.0,1.0,8.325714285714287,0.0,0.0,0.8857142857142857,0.08571428571428573,0.028571428571428567,0
669,57609431,5759480.0,46462,2017.2,32,27.0,4.0,1.0,6.071874999999998,5.4375,0.0,0.84375,0.125,0.03125,0
670,57609435,5753676.0,59419,2017.2,24,24.0,0.0,0.0,7.654166666666666,0.0,0.0,1.0,0.0,0.0,0
671,57609436,5752988.0,59420,2017.2,3,2.0,0.0,1.0,6.2666666666666675,14.666666666666664,0.0,0.6666666666666666,0.0,0.3333333333333333,0
672,57609437,5753553.0,46463,2017.2,8,4.0,3.0,1.0,3.6125,0.0,0.0,0.5,0.375,0.125,0
673,57609438,5759480.0,46470,2017.2,7,3.0,2.0,2.0,3.7857142857142856,16.857142857142858,0.0,0.42857142857142855,0.2857142857142857,0.2857142857142857,0
674,57609439,5755418.0,51589,2017.2,29,29.0,0.0,0.0,7.596551724137927,5.793103448275862,0.0,1.0,0.0,0.0,0
675,57609440,5753350.0,51590,2017.2,3,2.0,1.0,0.0,5.8,13.333333333333336,0.0,0.6666666666666666,0.3333333333333333,0.0,0
676,57609441,5759480.0,46474,2017.2,1,0.0,1.0,0.0,0.0,28.0,0.0,0.0,1.0,0.0,0
677,57609442,5759480.0,56278,2017.2,1,1.0,0.0,0.0,7.8,12.0,0.0,1.0,0.0,0.0,0
678,57609445,5753676.0,46477,2017.2,2,2.0,0.0,0.0,8.8,5.0,0.0,1.0,0.0,0.0,0
679,57609455,20680.0,49491,2017.2,3,3.0,0.0,0.0,6.7333333333333325,2.6666666666666665,0.0,1.0,0.0,0.0,0
680,57609456,5753362.0,48652,2017.2,5,5.0,0.0,0.0,9.36,0.0,0.0,1.0,0.0,0.0,0
681,57609457,5755401.0,52357,2017.2,2,2.0,0.0,0.0,6.4,0.0,0.0,1.0,0.0,0.0,0
682,57609458,5754607.0,49491,2017.2,2,1.0,1.0,0.0,4.05,24.0,0.0,0.5,0.5,0.0,0
683,57609459,5754607.0,49491,2017.2,2,0.0,2.0,0.0,1.9,33.0,0.0,0.0,1.0,0.0,0
684,57609460,20680.0,49507,2017.2,1,1.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0
685,57609463,5753022.0,25715,2017.2,2,2.0,0.0,0.0,5.1,5.0,0.0,1.0,0.0,0.0,0
686,57609483,19233.0,48332,2017.2,28,28.0,0.0,0.0,7.7428571428571455,0.0,0.0,1.0,0.0,0.0,0
687,57609485,5758239.0,48332,2017.2,17,16.0,1.0,0.0,6.458823529411767,11.176470588235292,0.0,0.9411764705882352,0.05882352941176471,0.0,0
688,57609487,5754367.0,41441,2017.2,33,16.0,13.0,4.0,4.278787878787878,9.757575757575758,1.0,0.4848484848484849,0.3939393939393939,0.12121212121212123,0
689,57609490,5753030.0,41441,2017.2,15,6.0,9.0,0.0,3.9266666666666663,6.133333333333334,0.0,0.4,0.6,0.0,0
690,57609491,5753030.0,41441,2017.2,28,17.0,9.0,2.0,3.8821428571428567,9.857142857142858,1.0,0.6071428571428571,0.32142857142857145,0.07142857142857142,0
691,57609492,20212.0,48330,2017.2,14,13.0,1.0,0.0,7.307142857142857,13.428571428571427,0.0,0.9285714285714286,0.07142857142857142,0.0,0
692,57609493,20212.0,48330,2017.2,43,43.0,0.0,0.0,8.051162790697674,8.186046511627907,0.0,1.0,0.0,0.0,0
693,57609497,5758239.0,61166,2017.2,2,2.0,0.0,0.0,7.3,14.0,0.0,1.0,0.0,0.0,0
694,57609654,18677.0,49493,2017.2,3,3.0,0.0,0.0,6.033333333333334,12.666666666666664,0.0,1.0,0.0,0.0,0
695,57609656,25437.0,50418,2017.2,1,1.0,0.0,0.0,9.7,0.0,0.0,1.0,0.0,0.0,0
696,57609662,5759363.0,61134,2017.2,17,17.0,0.0,0.0,8.223529411764707,3.1764705882352944,0.0,1.0,0.0,0.0,0
697,57609665,21846.0,59594,2017.2,31,21.0,7.0,3.0,5.825806451612904,24.935483870967737,0.0,0.6774193548387096,0.2258064516129032,0.0967741935483871,0
698,57609668,24165.0,59594,2017.2,34,26.0,6.0,2.0,6.650000000000001,26.588235294117645,0.0,0.7647058823529411,0.17647058823529413,0.05882352941176471,0
699,57609674,23011.0,40106,2017.2,48,33.0,15.0,0.0,5.220833333333332,12.75,0.0,0.6875,0.3125,0.0,0
700,57609694,5753097.0,40108,2017.2,32,31.0,1.0,0.0,7.971875000000002,8.125,0.0,0.96875,0.03125,0.0,0
701,57609706,23011.0,40107,2017.2,23,13.0,9.0,1.0,3.930434782608696,25.608695652173914,2.0,0.5652173913043478,0.39130434782608703,0.043478260869565216,0
702,57609707,4308385.0,40107,2017.2,45,30.0,13.0,2.0,4.642222222222221,14.044444444444444,7.0,0.6666666666666666,0.2888888888888889,0.04444444444444445,0
703,57609711,18543.0,40109,2017.2,39,25.0,12.0,2.0,4.733333333333333,16.923076923076927,4.0,0.6410256410256411,0.3076923076923077,0.05128205128205128,0
704,57609712,5759500.0,40109,2017.2,12,9.0,3.0,0.0,5.3,5.166666666666667,1.0,0.75,0.25,0.0,0
705,57609714,5758819.0,40111,2017.2,11,8.0,2.0,1.0,5.072727272727274,9.181818181818182,0.0,0.7272727272727273,0.18181818181818185,0.09090909090909093,0
706,57609715,5758819.0,40111,2017.2,11,11.0,0.0,0.0,6.709090909090909,5.363636363636363,0.0,1.0,0.0,0.0,0
707,57609720,5753097.0,40112,2017.2,3,3.0,0.0,0.0,8.7,8.0,0.0,1.0,0.0,0.0,0
708,57609722,24165.0,21084,2017.2,1,1.0,0.0,0.0,8.4,16.0,0.0,1.0,0.0,0.0,0
709,57609726,5759156.0,40114,2017.2,3,1.0,2.0,0.0,2.1666666666666665,14.666666666666664,1.0,0.3333333333333333,0.6666666666666666,0.0,0
710,57609729,5753695.0,40114,2017.2,11,9.0,2.0,0.0,5.154545454545455,10.545454545454543,1.0,0.8181818181818182,0.18181818181818185,0.0,0
711,57609732,24792.0,40118,2017.2,1,1.0,0.0,0.0,5.4,16.0,0.0,1.0,0.0,0.0,0
712,57609736,5758819.0,40122,2017.2,16,14.0,2.0,0.0,6.487499999999999,11.9375,0.0,0.875,0.125,0.0,0
